Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Quarter,Year
06-Jan-21,1300,1302,1268.050049,1282.099976,1198.203979,7161715,6,1,1,2021
07-Jan-21,1296,1297.650024,1255.5,1262.150024,1179.55957,10954918,7,1,1,2021
08-Jan-21,1278.25,1316.800049,1278.25,1312.099976,1226.241089,13186251,8,1,1,2021
11-Jan-21,1342.099976,1383.349976,1340,1376.199951,1286.146606,20528626,11,1,1,2021
12-Jan-21,1378,1378,1360,1371.75,1281.987793,8309868,12,1,1,2021
13-Jan-21,1373.849976,1392.800049,1360,1387.150024,1296.380005,14442997,13,1,1,2021
14-Jan-21,1360,1384,1318.449951,1370.5,1280.819458,27521697,14,1,1,2021
15-Jan-21,1360,1364.449951,1340,1344.949951,1256.941406,15018441,15,1,1,2021
18-Jan-21,1338,1340,1306,1312.050049,1226.194336,8861765,18,1,1,2021
19-Jan-21,1320,1331,1312,1316.650024,1230.493286,5585744,19,1,1,2021
20-Jan-21,1320.550049,1348.400024,1320.550049,1339.449951,1251.801392,8225838,20,1,1,2021
21-Jan-21,1350,1361.050049,1335,1339.699951,1252.03479,6142421,21,1,1,2021
22-Jan-21,1327,1356,1326.550049,1340.849976,1253.109863,9646591,22,1,1,2021
25-Jan-21,1345,1347.900024,1313,1325.099976,1238.390381,6542611,25,1,1,2021
27-Jan-21,1319.599976,1327.550049,1285.099976,1301,1215.867432,8133665,27,1,1,2021
28-Jan-21,1291.800049,1296.449951,1272.550049,1276.199951,1192.690186,4660690,28,1,1,2021
29-Jan-21,1286.25,1291.150024,1231,1239.050049,1157.971313,12183519,29,1,1,2021
01-Feb-21,1250.550049,1277.949951,1241,1260.900024,1178.391357,8880279,1,2,1,2021
02-Feb-21,1280,1294.400024,1263.599976,1271.25,1188.064087,6892490,2,2,1,2021
03-Feb-21,1277.650024,1304,1273,1284.650024,1200.58728,8182968,3,2,1,2021
04-Feb-21,1285,1293.400024,1272.050049,1279.349976,1195.634033,5032240,4,2,1,2021
05-Feb-21,1286.400024,1288.75,1262,1272.099976,1188.858521,5477481,5,2,1,2021
08-Feb-21,1285.5,1310,1275.5,1303.550049,1218.250732,6921922,8,2,1,2021
09-Feb-21,1306.900024,1332,1297.849976,1305.550049,1220.119751,7965949,9,2,1,2021
10-Feb-21,1295.800049,1304.349976,1283.599976,1296.5,1211.661865,5951207,10,2,1,2021
11-Feb-21,1289,1296,1283.050049,1292.650024,1208.063721,4673317,11,2,1,2021
12-Feb-21,1305,1323.75,1301.550049,1309.800049,1224.091553,5797875,12,2,1,2021
15-Feb-21,1320,1328.400024,1307.099976,1309.650024,1223.951294,4363513,15,2,1,2021
16-Feb-21,1314,1319.75,1286,1290.400024,1205.960938,6896421,16,2,1,2021
17-Feb-21,1290.400024,1294.5,1275,1281.300049,1197.456421,4575741,17,2,1,2021
18-Feb-21,1276,1306,1275,1292.449951,1207.876831,6437551,18,2,1,2021
19-Feb-21,1296.099976,1299.5,1276.800049,1291.300049,1206.802124,5389696,19,2,1,2021
22-Feb-21,1295,1308.550049,1260,1265.199951,1182.409912,7371303,22,2,1,2021
23-Feb-21,1271.150024,1291,1257.550049,1266.349976,1183.484741,6612942,23,2,1,2021
24-Feb-21,1260.050049,1276.599976,1252,1274.300049,1190.914429,4537258,24,2,1,2021
